54	44293	210	14348	-172	4355	322	10100	89	3339	92	3475	181	6814	0	0	11	14	156	1	23	329	745	5716
55	45325	217	14565	-160	4195	295	10395	73	3412	83	3558	156	6970	0	0	10	21	125	1	23	339	766	5841
56	46134	202	14767	-238	3957	368	10763	82	3494	73	3631	155	7125	0	0	8	20	127	1	23	347	786	5968
57	46687	127	14894	11	3968	93	10856	66	3560	76	3707	142	7267	0	1	7	20	114	1	24	354	806	6082
58	47334	123	15017	8	3976	65	10921	70	3630	84	3791	154	7421	0	1	13	13	127	1	25	367	819	6209
59	47859	174	15191	-243	3733	340	11261	68	3698	67	3858	135	7556	0	0	9	16	110	1	25	376	835	6319
60	48519	178	15369	-124	3609	293	11554	55	3753	55	3913	110	7666	0	0	6	19	85	1	25	382	854	6404
61	49032	152	15521	-223	3386	316	11870	50	3803	57	3970	107	7773	0	1	6	10	90	1	26	388	864	6494
62	49517	128	15649	-277	3109	319	12189	37	3840	50	4020	87	7860	0	1	5	8	73	1	27	393	872	6567
63	49906	77	15726	-29	3080	98	12287	48	3888	45	4065	93	7953	0	0	4	17	72	1	27	397	889	6639
64	50267	59	15785	-36	3044	69	12356	41	3929	34	4099	75	8028	0	2	4	7	62	1	29	401	896	6701
65	50509	84	15869	38	3082	63	12419	56	3985	38	4137	94	8122	0	0	6	16	72	1	29	407	912	6773
66	50781	116	15985	-214	2868	295	12714	51	4036	44	4181	95	8217	0	0	4	11	80	1	29	411	923	6853
67	51420	98	16083	-169	2699	244	12958	37	4073	44	4225	81	8298	0	0	1	10	70	1	29	412	933	6923
68	52001	108	16191	-144	2555	221	13179	39	4112	37	4262	76	8374	0	0	3	12	61	1	29	415	945	6984
69	52596	75	16266	-174	2381	210	13389	37	4149	34	4296	71	8445	0	0	4	8	59	1	29	419	953	7043
70	53081	83	16349	-159	2222	231	13620	36	4185	38	4334	74	8519	0	1	4	4	65	1	30	423	957	7108
71	53449	60	16409	0	2222	55	13675	35	4220	36	4370	71	8590	0	0	6	3	62	1	30	429	960	7170
72	53779	43	16452	8	2230	35	13710	34	4254	38	4408	72	8662	0	0	2	3	67	1	30	431	963	7237
73	53981	70	16522	-145	2085	206	13916	29	4283	36	4444	65	8727	0	0	5	6	54	1	30	436	969	7291
74	54288	81	16603	-119	1966	173	14089	30	4313	15	4459	45	8772	0	1	5	2	37	1	31	441	971	7328
75	54644	67	16670	-104	1862	190	14279	35	4348	21	4480	56	8828	0	1	3	7	45	1	32	444	978	7373
76	54989	65	16735	-112	1750	159	14438	25	4373	18	4498	43	8871	0	1	4	3	35	1	33	448	981	7408
77	55280	60	16795	-125	1625	170	14608	22	4395	23	4521	45	8916	0	0	3	4	38	1	33	451	985	7446
78	55559	43	16838	-11	1614	27	14635	16	4411	14	4535	30	8946	0	2	2	3	23	1	35	453	988	7469
79	55791	50	16888	16	1630	30	14665	21	4432	10	4545	31	8977	0	0	1	3	27	1	35	454	991	7496
80	55983	58	16946	-103	1527	160	14825	22	4454	15	4560	37	9014	0	0	4	2	31	1	35	458	993	7527
81	56235	71	17017	-79	1448	141	14966	21	4475	12	4572	33	9047	0	0	1	4	28	1	35	459	997	7555
82	56511	56	17073	-60	1388	135	15101	14	4489	16	4588	30	9077	0	1	4	3	22	1	36	463	1000	7577
83	56810	34	17107	-28	1360	32	15133	15	4504	19	4607	34	9111	0	0	0	6	28	1	36	463	1006	7605
84	57092	48	17155	-64	1296	117	15250	23	4527	18	4625	41	9152	0	0	3	1	37	1	36	466	1007	7642
85	57342	27	17182	10	1306	25	15275	20	4547	5	4630	25	9177	0	0	1	3	21	1	36	467	1010	7663
86	57455	39	17221	-2	1304	23	15298	16	4563	17	4647	33	9210	0	0	2	4	27	1	36	469	1014	7690
87	57592	36	17257	-154	1150	145	15443	19	4582	7	4654	26	9236	0	0	0	0	26	1	36	469	1014	7716
88	57849	49	17306	-100	1050	108	15551	18	4600	6	4660	24	9260	0	0	2	3	19	1	36	471	1017	7735
89	58061	27	17333	-111	939	109	15660	17	4617	7	4667	24	9284	0	0	2	3	19	1	36	473	1020	7754
